Alpha-3 code,CountryName_CN,Numeric,Year,SDI_TwoStage,SDI_Economy_TwoStage,SDI_Society_TwoStage,SDI_Resource_TwoStage,SDI_Ecology_TwoStage,SDI_TwoStage_avail,SDI_Economy_TwoStage_avail,SDI_Society_TwoStage_avail,SDI_Resource_TwoStage_avail,SDI_Ecology_TwoStage_avail,coverage_rate,diff,abs_diff
MOZ,莫桑比克,508,2011,0.4260327574006812,0.2467927793328041,0.3736673012622428,0.4719286373009229,0.6117423117067551,0.4260327574006812,0.24679277933280408,0.37366730126224285,0.4719286373009229,0.6117423117067551,1.0,0.0,0.0
NAM,纳米比亚,516,2011,0.5147722512101723,0.3856056930332305,0.4841227883801632,0.5172606880757229,0.6720998353515727,0.5147722512101722,0.3856056930332304,0.48412278838016326,0.5172606880757228,0.6720998353515728,1.0,-1.1102230246251565e-16,1.1102230246251565e-16
NER,尼日尔,562,2011,0.3790054373613102,0.2342095231384824,0.3704827634183918,0.52105008015442,0.3902793827339468,0.37900543736131026,0.23420952313848237,0.3704827634183918,0.52105008015442,0.3902793827339468,1.0,5.551115123125783e-17,5.551115123125783e-17
NGA,尼日利亚,566,2011,0.4277082318262969,0.3303958703406118,0.4324147133694801,0.5015768592559777,0.4464454843391182,0.4277082318262969,0.33039587034061185,0.4324147133694801,0.5015768592559775,0.4464454843391182,1.0,0.0,0.0
GNB,几内亚（比绍）,624,2011,0.44663579465656,0.2835747669539155,0.3410551542618175,0.4771840141811996,0.6847292432293073,0.4466357946565599,0.28357476695391537,0.34105515426181743,0.4771840141811996,0.6847292432293074,1.0,-1.1102230246251565e-16,1.1102230246251565e-16
RWA,卢旺达,646,2011,0.3955046677344133,0.2537996890357943,0.4459341282550662,0.5061547585904871,0.3761300950563052,0.3955046677344132,0.2537996890357943,0.44593412825506623,0.5061547585904871,0.37613009505630524,1.0,-1.1102230246251565e-16,1.1102230246251565e-16
STP,圣多美和普林西比,678,2011,0.418008474419607,0.2465113346014027,0.3498963929849374,0.5213244848469405,0.5543016852451473,0.4339294201621059,0.24651133460140268,0.413580175954933,0.5213244848469404,0.5543016852451473,0.9705882352941176,0.015920945742498915,0.015920945742498915
SEN,塞内加尔,686,2011,0.4814529132128622,0.2719012654488064,0.4966412860032873,0.519904371770523,0.6373647296288323,0.48145291321286227,0.27190126544880633,0.49664128600328744,0.519904371770523,0.6373647296288323,1.0,5.551115123125783e-17,5.551115123125783e-17
SYC,塞舌尔,690,2011,0.4868958263520271,0.2586611065625839,0.6048183626169155,0.4633676934622924,0.6207361427663164,0.5882192533399659,0.48596516870707135,0.7148998670662106,0.5312758348202654,0.6207361427663164,0.8529411764705882,0.10132342698793884,0.10132342698793884
SLE,塞拉利昂,694,2011,0.4056600876027993,0.2043855006313531,0.3553238611777093,0.5184965453113064,0.5444344432908286,0.40566008760279937,0.20438550063135308,0.3553238611777093,0.5184965453113064,0.5444344432908287,1.0,5.551115123125783e-17,5.551115123125783e-17
ZAF,南非,710,2011,0.4585384704566965,0.4197315308580594,0.6291982741733448,0.4331876953273779,0.3520363814680041,0.4585384704566966,0.4197315308580594,0.629198274173345,0.43318769532737783,0.3520363814680041,1.0,1.1102230246251565e-16,1.1102230246251565e-16
ZWE,津巴布韦,716,2011,0.4238092987038343,0.291526650963158,0.3595285089767966,0.4356384767663448,0.6085435581090376,0.4238092987038342,0.2915266509631579,0.3595285089767967,0.4356384767663447,0.6085435581090377,1.0,-1.1102230246251565e-16,1.1102230246251565e-16
SWZ,斯威士兰,748,2011,0.4301269254613759,0.372471831264596,0.3620629951293325,0.5866043624926583,0.3993685129589165,0.4301269254613759,0.37247183126459593,0.36206299512933254,0.5866043624926583,0.39936851295891657,1.0,0.0,0.0
TGO,多哥,768,2011,0.4181736606234641,0.2706284785761165,0.3886866665792113,0.4449471074276638,0.5684323899108651,0.41817366062346417,0.27062847857611644,0.38868666657921136,0.44494710742766375,0.5684323899108651,1.0,5.551115123125783e-17,5.551115123125783e-17
UGA,乌干达,800,2011,0.4077721483710558,0.2592178130942515,0.397645559685627,0.4778934126226481,0.4963318080816966,0.40777214837105585,0.2592178130942515,0.39764555968562715,0.477893412622648,0.4963318080816967,1.0,5.551115123125783e-17,5.551115123125783e-17
TZA,坦桑尼亚,834,2011,0.444370051786894,0.2508057533865728,0.413420566828967,0.4905782244150701,0.622675662516966,0.444370051786894,0.25080575338657274,0.41342056682896716,0.49057822441506993,0.622675662516966,1.0,0.0,0.0
BFA,布基纳法索,854,2011,0.4457899086822382,0.2750481381632284,0.3962298196399251,0.4979324890772434,0.613949187848556,0.4457899086822382,0.2750481381632283,0.3962298196399252,0.49793248907724347,0.613949187848556,1.0,0.0,0.0
ZMB,赞比亚,894,2011,0.4567474720726207,0.3584383039597953,0.3100516194573081,0.4758634979148552,0.6826364669585243,0.4567474720726207,0.3584383039597952,0.31005161945730814,0.47586349791485516,0.6826364669585243,1.0,0.0,0.0
AGO,安哥拉,24,2012,0.4703672341183206,0.4213484668213321,0.4567437062658108,0.517162281298759,0.4862144820873808,0.47036723411832065,0.4213484668213319,0.4567437062658108,0.517162281298759,0.48621448208738083,1.0,5.551115123125783e-17,5.551115123125783e-17
BWA,博茨瓦纳,72,2012,0.4955441275356174,0.3934738617427777,0.4567136546062592,0.5137935881955117,0.618195405597921,0.4955441275356174,0.39347386174277765,0.45671365460625923,0.5137935881955116,0.6181954055979211,1.0,0.0,0.0
BDI,布隆迪,108,2012,0.3445931392638237,0.2325270666041181,0.3245729334728316,0.4660189935285069,0.3552535634498381,0.3541778332414095,0.23252706660411804,0.36291170938317496,0.46601899352850684,0.3552535634498381,0.9705882352941176,0.009584693977585823,0.009584693977585823
CMR,喀麦隆,120,2012,0.4199855145591034,0.2795813892718365,0.4453974505344506,0.5252305994618308,0.4297326189682957,0.4199855145591035,0.2795813892718365,0.44539745053445073,0.5252305994618308,0.42973261896829573,1.0,1.1102230246251565e-16,1.1102230246251565e-16
CPV,佛得角,132,2012,0.4366841471969634,0.2845330002518094,0.5889220337193721,0.5296852881382049,0.3435962666784674,0.4366841471969634,0.2845330002518093,0.5889220337193722,0.5296852881382048,0.3435962666784674,1.0,0.0,0.0
CAF,中非,140,2012,0.3874845624270805,0.1493439840349743,0.3306557715476796,0.549257902192567,0.5206805919331015,0.39493318020169776,0.1791384551334431,0.3306557715476796,0.5492579021925669,0.5206805919331016,0.9705882352941176,0.00744861777461725,0.00744861777461725
TCD,乍得,148,2012,0.3836649042175831,0.2027942075271552,0.3426318362633318,0.5080440840412975,0.4811894890385477,0.39377938287259484,0.24325212214720268,0.34263183626333177,0.5080440840412973,0.48118948903854764,0.9705882352941176,0.01011447865501175,0.01011447865501175
COM,科摩罗,174,2012,0.4606264619442951,0.2808138218970188,0.430309148904539,0.5402123956867715,0.5911704812888511,0.46062646194429513,0.2808138218970188,0.4303091489045392,0.5402123956867713,0.5911704812888512,1.0,5.551115123125783e-17,5.551115123125783e-17
COG,刚果（布）,178,2012,0.4792681877288747,0.374807281557531,0.3898609905784416,0.560468057412615,0.5919364213669114,0.4792681877288748,0.374807281557531,0.3898609905784417,0.560468057412615,0.5919364213669115,1.0,1.1102230246251565e-16,1.1102230246251565e-16
COD,刚果（金）,180,2012,0.3686115178463275,0.2710701114016706,0.3238913188183419,0.412974407870485,0.4665102332948126,0.3686115178463275,0.2710701114016705,0.32389131881834193,0.412974407870485,0.46651023329481267,1.0,0.0,0.0
BEN,贝宁,204,2012,0.4557471428228306,0.2621532868390902,0.4347558451769912,0.5242735460149227,0.6018058932603183,0.4557471428228306,0.26215328683909017,0.4347558451769913,0.5242735460149226,0.6018058932603184,1.0,0.0,0.0
GNQ,赤道几内亚,226,2012,0.4642362863493514,0.5238771000675924,0.191260589047238,0.5471803134518599,0.594627142830715,0.5071320507179888,0.6283917962434907,0.25832895034588926,0.5471803134518599,0.5946271428307152,0.9117647058823528,0.04289576436863746,0.04289576436863746
ETH,埃塞俄比亚,231,2012,0.3904189921480635,0.2435539311434633,0.4048679063484018,0.4520241366868208,0.461229994413568,0.3904189921480635,0.24355393114346335,0.4048679063484018,0.45202413668682073,0.4612299944135682,1.0,0.0,0.0
ERI,厄立特里亚,232,2012,0.3120883261320427,0.1289836966014606,0.3268995283942547,0.4899513435862969,0.3025187359461588,0.377613446459917,0.35247058302626866,0.36551312328094393,0.4899513435862968,0.3025187359461588,0.8529411764705882,0.06552512032787433,0.06552512032787433
DJI,吉布提,262,2012,0.3119244574555109,0.103126506194818,0.4307139003373292,0.5236438835932912,0.1902135396966052,0.3729404365947509,0.29051212304297525,0.43071390033732926,0.580322183302094,0.1902135396966052,0.8235294117647058,0.061015979139240006,0.061015979139240006
GAB,加蓬,266,2012,0.573897067524535,0.5280502353497147,0.5574373589956164,0.5618975596362431,0.6482031161165652,0.5738970675245348,0.5280502353497147,0.5574373589956165,0.561897559636243,0.6482031161165652,1.0,-1.1102230246251565e-16,1.1102230246251565e-16
GMB,冈比亚,270,2012,0.4396556892265529,0.2542217076602165,0.4515377081816971,0.5181028987811419,0.5347604422831561,0.43965568922655296,0.2542217076602165,0.4515377081816972,0.5181028987811418,0.5347604422831561,1.0,5.551115123125783e-17,5.551115123125783e-17
GHA,加纳,288,2012,0.4638000493431854,0.2909527561946702,0.5006244186514002,0.4999418907524475,0.5636811317742241,0.4638000493431855,0.2909527561946701,0.5006244186514004,0.4999418907524475,0.5636811317742242,1.0,1.1102230246251565e-16,1.1102230246251565e-16
GIN,几内亚,324,2012,0.4449174075462712,0.2647911428898646,0.4054885303053547,0.5024983368028134,0.6068916201870521,0.4449174075462712,0.26479114288986455,0.40548853030535487,0.5024983368028133,0.6068916201870521,1.0,0.0,0.0
CIV,科特迪瓦,384,2012,0.4569260211087012,0.3328804237223509,0.4401634371589132,0.5190245461513852,0.5356356774021556,0.4569260211087012,0.33288042372235077,0.44016343715891326,0.519024546151385,0.5356356774021557,1.0,0.0,0.0
KEN,肯尼亚,404,2012,0.4290113497850354,0.2701909023044066,0.4156773932886812,0.5166361352008679,0.5135409683461857,0.4290113497850353,0.27019090230440657,0.41567739328868125,0.5166361352008678,0.5135409683461856,1.0,-1.1102230246251565e-16,1.1102230246251565e-16
LSO,莱索托,426,2012,0.3947519750433455,0.2819688700602629,0.3270562636669272,0.4848442967949147,0.4851384696512772,0.4044100021843009,0.2819688700602629,0.36568837223074885,0.48484429679491464,0.48513846965127727,0.9705882352941176,0.009658027140955372,0.009658027140955372
LBR,利比里亚,430,2012,0.3664914018788817,0.1580651364218417,0.3459318871108358,0.4761766367733465,0.4857919472095026,0.36649140187888163,0.15806513642184167,0.3459318871108358,0.47617663677334654,0.4857919472095026,1.0,-5.551115123125783e-17,5.551115123125783e-17
MDG,马达加斯加,450,2012,0.4147058046651348,0.2475678599000242,0.3818304666867417,0.4977353627353614,0.531689529338412,0.4147058046651349,0.24756785990002425,0.3818304666867418,0.49773536273536134,0.5316895293384121,1.0,1.1102230246251565e-16,1.1102230246251565e-16
MWI,马拉维,454,2012,0.4175524223494576,0.2491580012409979,0.3377656607042208,0.5079210193592787,0.5753650080933334,0.4175524223494577,0.2491580012409979,0.3377656607042208,0.5079210193592786,0.5753650080933335,1.0,1.1102230246251565e-16,1.1102230246251565e-16
MLI,马里,466,2012,0.4029612856372474,0.2730189567330089,0.4253507153039029,0.4851983747538947,0.4282770957581832,0.4029612856372474,0.2730189567330089,0.42535071530390295,0.48519837475389466,0.42827709575818323,1.0,0.0,0.0
MUS,毛里求斯,480,2012,0.4778817226982593,0.4066529756737387,0.4902611494279146,0.6246261002012145,0.3899866654901696,0.5001895295696293,0.40665297567373865,0.5794923769133947,0.6246261002012143,0.3899866654901696,0.9705882352941176,0.022307806871369962,0.022307806871369962
