Alpha-3 code,CountryName_CN,Numeric,Year,SDI,SDI_Economy,SDI_Society,SDI_Resource,SDI_Ecology,SDI_Economy_TwoStage,SDI_Society_TwoStage,SDI_Resource_TwoStage,SDI_Ecology_TwoStage,SDI_TwoStage,rank_global_critic,rank_two_stage,rank_change_two_stage_minus_global,abs_rank_change,sdi_difference
ZAF,南非,710,2018,0.5034281828186326,0.40538158572691557,0.707259606075003,0.5018293479677853,0.37480906340201137,0.4125673464593775,0.700303839604141,0.49884648703366263,0.3753311506636527,0.4967622059402085,12.0,7.0,-5.0,5.0,-0.006665976878424074
ZAF,南非,710,2019,0.5094105182472927,0.4023525918129234,0.7348814273241335,0.49689023687467676,0.3728125734950391,0.40907512867427237,0.7266452989598643,0.49362652238739213,0.3727682982413234,0.500528812065713,12.0,7.0,-5.0,5.0,-0.008881706181579685
ZAF,南非,710,2020,0.5217305582217089,0.4156312839179418,0.7575256453457557,0.5067268958295327,0.37785502564647944,0.4223555330520328,0.7484080154533955,0.5044512230301735,0.3783916428238579,0.513401603589865,10.0,7.0,-3.0,3.0,-0.00832895463184391
ZAF,南非,710,2021,0.527837980741573,0.4450525145340334,0.7582528611424753,0.5070315985686733,0.3832171178486231,0.4520014817965863,0.7485833501806022,0.505455144100059,0.38467742558188933,0.5226793504147842,9.0,7.0,-2.0,2.0,-0.00515863032678876
ZWE,津巴布韦,716,2001,0.39820916848387855,0.23059698337355772,0.27711598582342734,0.46185504939684824,0.5203130869600409,0.23527455802419564,0.28258639327350904,0.4615567046039099,0.5247118413000089,0.37603237430040587,25.0,31.0,6.0,6.0,-0.02217679418347268
ZWE,津巴布韦,716,2002,0.42846551710214253,0.24480054058409187,0.28004384092473233,0.45059808249771227,0.6023721769382838,0.24726340057605697,0.2863263584238807,0.45066145346795394,0.6043391938185966,0.39714760157162204,16.0,21.0,5.0,5.0,-0.03131791553052049
ZWE,津巴布韦,716,2003,0.4234412521729434,0.2328419789524357,0.2841419027496686,0.4366019674587207,0.5976303785241293,0.23493407599396568,0.29094985209886676,0.4370657305587591,0.5992906175947008,0.3905600690615731,17.0,29.0,12.0,12.0,-0.03288118311137034
ZWE,津巴布韦,716,2004,0.4294496059611877,0.2526930159793788,0.2901691118275753,0.4290767186393132,0.6063948278018186,0.2549517796778654,0.297758575371413,0.4298894904786387,0.6089919572594303,0.39789795069683687,17.0,27.0,10.0,10.0,-0.03155165526435083
ZWE,津巴布韦,716,2005,0.42862116337781586,0.25447085727212754,0.3086585635197768,0.4177498433294272,0.5950194265667555,0.25670232642915847,0.3179482007413515,0.41885906607812046,0.5965649608945923,0.3975186385358057,18.0,29.0,11.0,11.0,-0.03110252484201015
ZWE,津巴布韦,716,2006,0.4306187433612267,0.2672098740147037,0.3134787830815944,0.39515229446957856,0.6049853137493219,0.26902307301567263,0.32329186837013685,0.3971276020541652,0.6075131523290145,0.3992389239422473,19.0,31.0,12.0,12.0,-0.03137981941897938
ZWE,津巴布韦,716,2007,0.4240681090666746,0.2832277318364694,0.3169142996360159,0.3670858699148127,0.5945526637483173,0.2840702980287231,0.326817305817366,0.36962400285898084,0.5962077474717856,0.3941798385442139,22.0,32.0,10.0,10.0,-0.02988827052246068
ZWE,津巴布韦,716,2008,0.4186346048910866,0.2779700406390431,0.32077654368844805,0.33113020392925735,0.5990783306537525,0.27745330059874335,0.3308459705190987,0.3342158293728368,0.6013377703199896,0.3859632177026671,29.0,35.0,6.0,6.0,-0.0326713871884195
ZWE,津巴布韦,716,2009,0.44394097389271864,0.28723288341431896,0.33811280534576277,0.41403757565325744,0.6035259977504611,0.2899863196857363,0.3469926698708485,0.4156389271895882,0.6062269736241074,0.4147112225925701,20.0,26.0,6.0,6.0,-0.029229751300148543
ZWE,津巴布韦,716,2010,0.4519599451164232,0.3007829892709909,0.3567468497325916,0.4304115067279823,0.5961455861720786,0.30467295846519404,0.3631727573028126,0.43155440519006677,0.5981434448717806,0.4243858914574635,21.0,26.0,5.0,5.0,-0.027574053658959652
